timestep,average_reward
23900,-2.1249328
24000,-2.346509
24100,-2.0437589
24200,-1.7473357
24300,-2.1555612
24400,-2.0815024
24500,-1.9442015
24600,-2.1631794
24700,-1.7664517
24800,-1.7064034
24900,-1.6606569
25000,-2.038668
25100,-2.0367646
25200,-2.0797637
25300,-1.9224817
25400,-1.8087772
25500,-1.8273103
25600,-2.2336686
25700,-2.040622
25800,-1.9024259
25900,-2.0070722
26000,-2.0552087
26100,-2.1772573
26200,-2.215804
26300,-2.153322
26400,-1.8644798
26500,-2.2167094
26600,-2.258326
26700,-1.9048573
26800,-2.1175268
26900,-2.1314826
27000,-1.9508986
27100,-1.9607446
27200,-1.9807179
27300,-2.2822692
27400,-2.259876
27500,-1.9833679
27600,-2.064931
27700,-2.2424102
27800,-2.090835
27900,-1.8970102
28000,-1.7581649
28100,-1.8985416
28200,-2.3129776
28300,-1.884994
28400,-2.212774
28500,-2.1437254
28600,-2.2672296
28700,-1.7631187
28800,-1.8760781
28900,-2.276094
29000,-1.820997
29100,-2.3047903
29200,-1.868326
29300,-1.9241185
29400,-2.1720145
29500,-2.3561745
29600,-2.1061814
29700,-1.947908
29800,-2.2922263
29900,-1.7510996
30000,-2.1431596
30100,-1.9556996
30200,-1.9180146
30300,-2.0514474
30400,-2.1949434
30500,-2.043799
30600,-2.2108655
30700,-2.0771673
30800,-2.0150225
30900,-2.0468993
31000,-1.954961
31100,-2.2335122
31200,-1.9215937
31300,-1.9590392
31400,-2.187148
31500,-2.2068663
31600,-2.1007097
31700,-2.255977
31800,-2.3098595
31900,-1.9873005
32000,-2.2181792
32100,-2.1361332
32200,-1.936234
32300,-1.9995165
32400,-2.217722
32500,-2.1013045
32600,-1.9621403
32700,-1.910949
32800,-2.0618885
32900,-2.1207428
33000,-2.3441737
33100,-2.361499
33200,-2.1495085
33300,-2.0586464
33400,-2.142316
33500,-2.0803938
33600,-2.2676625
33700,-2.308125
33800,-1.9377326
33900,-2.1001616
34000,-2.240946
34100,-2.2554343
34200,-2.0635915
34300,-2.226864
34400,-2.3487234
34500,-1.9292053
34600,-2.0737023
34700,-2.2581253
34800,-2.1579843
34900,-2.2494102
35000,-2.0712087
35100,-2.3130324
35200,-2.0424507
35300,-2.0651305
35400,-1.936456
35500,-1.7767705
35600,-2.0058029
35700,-2.1609132
35800,-1.9685513
35900,-2.1298895
36000,-2.1231582
36100,-2.3517985
36200,-1.9614482
36300,-1.8143678
36400,-1.7368948
36500,-1.9981364
36600,-2.2292287
36700,-2.0386474
36800,-1.9452857
36900,-2.0650234
37000,-2.4743586
37100,-2.023873
37200,-2.3036284
37300,-2.1792562
